ticker,fiscal_year,sentiment_mean,sentiment_std,sentiment_pos_pct,sentiment_neg_pct,news_count
1202.SR,2024,0.8993708690007528,0.025606150299344,1.0,0.0,3
1211.SR,2024,0.2971905221541722,0.0527868532935408,1.0,0.0,3
1211.SR,2023,0.523901799072822,0.3491835720605981,1.0,0.0,3
2010.SR,2024,0.3005461605886618,0.2853936781425335,0.6666666666666666,0.3333333333333333,3
2010.SR,2023,0.5177251243342956,0.3728947310747473,1.0,0.0,3
2010.SR,2022,0.9217986067136128,0.0098706096467859,1.0,0.0,3
2010.SR,2021,0.3543281300614277,0.3197261205028618,1.0,0.0,3
7204.SR,2024,0.0,0.0,0.0,0.0,0
7204.SR,2023,0.4016107047597567,0.4790505626193499,0.8333333333333334,0.1666666666666666,6
7204.SR,2022,0.3990477127954364,0.360547454645418,1.0,0.0,6
2081.SR,2024,0.90938667456309,0.0328104123802067,1.0,0.0,3
2081.SR,2023,0.6535755544900894,0.3466881543645438,1.0,0.0,3
2082.SR,2024,0.5918710877497991,0.394243569923149,1.0,0.0,3
2082.SR,2023,0.8185038765271505,0.1281216592339606,1.0,0.0,3
2082.SR,2022,0.5977237820625305,0.3031296903534823,1.0,0.0,3
2082.SR,2021,0.49727746595939,0.2681783149765732,1.0,0.0,3
2222.SR,2024,0.5693510125080744,0.4431013692199861,0.6666666666666666,0.3333333333333333,3
2222.SR,2023,0.2752075220147769,0.1395972636702439,1.0,0.0,3
2222.SR,2022,-0.0123520145813624,0.719116838759026,0.6666666666666666,0.3333333333333333,3
2222.SR,2021,0.3407042175531387,0.3731288190995577,0.6666666666666666,0.3333333333333333,3
2280.SR,2024,0.3059915906439225,0.4367032002972843,0.6666666666666666,0.3333333333333333,3
2382.SR,2024,0.8280381361643473,0.0009335245966172,1.0,0.0,3
2382.SR,2023,0.3173393029719591,0.4001828128914632,1.0,0.0,3
2382.SR,2022,0.5048945347468058,0.2496852149758469,1.0,0.0,3
3008.SR,2023,0.0285045839846134,0.0184751089213977,1.0,0.0,3
3008.SR,2022,0.6456178774436315,0.3922741722486791,1.0,0.0,3
3008.SR,2021,0.0,0.0,0.0,0.0,0
4290.SR,2024,0.5894156967600187,0.374847412331929,1.0,0.0,3
4290.SR,2023,0.6413262287775675,0.0664314584882223,1.0,0.0,3
4321.SR,2024,0.1132062412798404,0.1335584589310758,0.6666666666666666,0.3333333333333333,3
4321.SR,2023,0.162956953048706,0.7968798350618899,0.6666666666666666,0.3333333333333333,3
4321.SR,2022,0.0999776062866052,0.0463159557159403,1.0,0.0,3
5110.SR,2024,0.6074640949567159,0.183507997276302,1.0,0.0,3
5110.SR,2023,0.8028484384218851,0.0851243895853586,1.0,0.0,3
5110.SR,2022,0.0,0.0,0.0,0.0,0
5110.SR,2021,0.0,0.0,0.0,0.0,0
7010.SR,2024,0.4539309729422842,0.2995342691547471,1.0,0.0,7
7010.SR,2023,0.5481138128255095,0.4147401779629744,1.0,0.0,7
7010.SR,2022,0.6075054723769426,0.2649486005038345,1.0,0.0,8
7010.SR,2021,0.1849797061747974,0.2425799351486175,0.6666666666666666,0.3333333333333333,9
7020.SR,2024,0.6700517997766534,0.3271598931965741,0.8333333333333334,0.1666666666666666,6
7020.SR,2023,0.2046889960765838,0.8362830405743847,0.6666666666666666,0.3333333333333333,6
7030.SR,2024,-0.9549732506275176,0.0110219629433715,0.0,1.0,4
7030.SR,2023,0.5712104868143797,0.3794335315890076,1.0,0.0,4
9535.SR,2024,0.6203902065753937,0.268454664376959,1.0,0.0,3
9568.SR,2024,0.0770069236556689,0.0805325847431361,1.0,0.0,3
9619.SR,2024,0.8736483057339987,0.0245155693835579,1.0,0.0,3
