ticker,fiscal_year,rating,liquid,cumprof,profitab,leverage,company_name,rating_agency,sentiment_mean,sentiment_std,sentiment_pos_pct,sentiment_neg_pct,news_count,GCKAM,REVKAM,ASSETKAM,LIABKAM,OTHERKAM,rating_category,sector
3008.SR,2023,BBB-,0.344255468,0.018350902,0.021793332,0.773711008,Al Kathiri (AKHC),Tassnief,0.0285045839846134,0.0184751089213977,1.0,0.0,3,0,1,1,0,0,BBB,
9568.SR,2024,BB,-0.349646388,0.002173072,0.078288238,0.068059243,Mayar Holding,Tassnief,0.0770069236556689,0.0805325847431361,1.0,0.0,3,0,1,1,0,0,BB,
9535.SR,2024,BBB+,0.005848958,0.051157433,0.034119268,0.267008915,Ladun Investment,Tassnief,0.6203902065753937,0.268454664376959,1.0,0.0,3,0,1,1,0,0,BBB,
7030.SR,2023,A,-0.045748097,0.048464269,0.075357897,0.630936952,Zain Saudi Arabia,Tassnief,0.5712104868143797,0.3794335315890076,1.0,0.0,4,0,1,1,0,0,A,
7030.SR,2024,A,-0.194387894,0.059603395,0.044824323,0.61432486,Zain Saudi Arabia,Tassnief,-0.9549732506275176,0.0110219629433715,0.0,1.0,4,0,1,1,0,0,A,
7020.SR,2023,AA-,-0.043632032,0.186349708,0.080055068,0.828582283,Mobily,Tassnief,0.2046889960765838,0.8362830405743847,0.6666666666666666,0.3333333333333333,6,0,1,1,0,0,AA,
7020.SR,2024,AA,-0.023769215,0.290747835,0.098391984,0.961096637,Mobily,Tassnief,0.6700517997766534,0.3271598931965741,0.8333333333333334,0.1666666666666666,6,0,1,1,0,0,AA,
7010.SR,2021,AAA,0.140144026,0.297267055,0.103725775,1.265856127,Saudi Telecom (STC),Tassnief,0.1849797061747974,0.2425799351486175,0.6666666666666666,0.3333333333333333,9,0,1,1,1,0,AA,
7010.SR,2022,AAA,0.17774585,0.079828532,0.103240784,1.242362037,Saudi Telecom (STC),Tassnief,0.6075054723769426,0.2649486005038345,1.0,0.0,8,0,1,1,1,1,AA,
7010.SR,2023,AAA,0.14502934,0.17208263,0.09430338,1.043317964,Saudi Telecom (STC),Tassnief,0.5481138128255095,0.4147401779629744,1.0,0.0,7,0,1,1,0,0,AA,
7010.SR,2024,AAA,0.21047846,0.239353315,0.083218878,1.357019012,Saudi Telecom (STC),Tassnief,0.4539309729422842,0.2995342691547471,1.0,0.0,7,0,1,1,0,1,AA,
4290.SR,2023,BBB+,0.006647588,-0.092741207,0.034219175,0.322766078,Alkhaleej Training,Tassnief,0.6413262287775675,0.0664314584882223,1.0,0.0,3,0,0,1,0,1,BBB,
4290.SR,2024,BBB+,0.025596369,-0.012894618,0.086036762,0.360958297,Alkhaleej Training,Tassnief,0.5894156967600187,0.374847412331929,1.0,0.0,3,0,0,1,0,1,BBB,
3008.SR,2021,BBB-,-0.064899065,0.046490075,0.066571658,2.832744831,Al Kathiri (AKHC),Tassnief,0.0,0.0,0.0,0.0,0,0,1,1,0,0,BBB,
3008.SR,2022,BBB-,0.019798369,0.048077623,0.029120129,2.038695034,Al Kathiri (AKHC),Tassnief,0.6456178774436315,0.3922741722486791,1.0,0.0,3,0,1,1,0,0,BBB,
9619.SR,2024,BB+,0.778851041,0.292012684,0.209043957,3.2734437,Multi Business Group,Tassnief,0.8736483057339987,0.0245155693835579,1.0,0.0,3,0,1,0,0,0,BB,
